Day,Cons_Pool_elev_m
1,281
31,281
38,285
45,289
52,293
59,296
66,297
74,299
82,300
90,301
97,303
105,304
112,305
120,306
127,307
130,308
243,308
250,306
258,305
265,303
273,302
280,300
288,298
296,296
304,294
311,292
319,290
326,289
334,287
341,286
349,284
357,283
365,281
