Day,Pool_elevation_m
1,218
31,218
36,222.1
59,227
90,229
91,229
131,231.9
151,231.9
152,231.9
181,231.9
182,231.9
243,231.9
244,231.8
273,228.4
304,224.3
305,224.2
317,221.9
325,218
365,218
