Day,Pool_elevation_m
1,359.665
31,359.665
59,370.3
90,375.7
91,375.9
105,378.1
120,379.7
131,380.8
151,380.8
152,380.8
181,380.8
182,380.8
213,380.8
243,380.8
273,374.7
304,366.2
305,366
319,359.665
365,359.665
