Day,Pool_elevation_m
1,228.601
31,228.601
32,228.7
59,229.7
90,231
91,231
105,231.6
120,231.9
139,232.4
181,232.4
182,232.4
243,232.4
273,230.9
304,228.601
305,228.601
365,228.601
