Date_pool_elev_m,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev
-10,187,187,189,189,192,193,194,194,194,195
1,283,340,368,377,425,510,580,597,606,623
32,283,340,368,377,425,510,580,597,606,623
59,283,283,283,306,425,510,580,597,606,623
105,283,340,368,377,425,510,580,597,606,623
135,283,340,368,377,425,510,580,597,606,623
151,85,85,85,85,85,85,85,85,283,623
273,85,85,85,85,85,85,85,85,340,623
274,283,283,283,283,283,283,283,283,340,623
288,283,283,283,283,283,340,425,597,606,623
304,283,283,283,283,398,425,580,597,606,623 
319,283,340,368,377,425,510,580,597,606,623 
365,283,340,368,377,425,510,580,597,606,623
