Date_pool_elev_m,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev,pool_elev
-10,100,187,187.025,187.05,187.075,187.1,187.125,187.15,187.175,187.2,187.225,187.25,187.275,187.3,199
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,2,2,2,2,3,3,3,3,4,4,4,0,0
135,0,0,2,2,2,2,3,3,3,3,4,4,4,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
