,Generator,Time,Value,Zones
120,BOULDER_PARK_3,1,0.0,PNW
121,BOULDER_PARK_3,2,0.0,PNW
122,BOULDER_PARK_3,3,0.0,PNW
123,BOULDER_PARK_3,4,0.0,PNW
124,BOULDER_PARK_3,5,0.0,PNW
125,BOULDER_PARK_3,6,0.0,PNW
126,BOULDER_PARK_3,7,4.1,PNW
127,BOULDER_PARK_3,8,0.0,PNW
128,BOULDER_PARK_3,9,0.0,PNW
129,BOULDER_PARK_3,10,0.0,PNW
130,BOULDER_PARK_3,11,0.0,PNW
131,BOULDER_PARK_3,12,0.0,PNW
132,BOULDER_PARK_3,13,0.0,PNW
133,BOULDER_PARK_3,14,0.0,PNW
134,BOULDER_PARK_3,15,0.0,PNW
135,BOULDER_PARK_3,16,0.0,PNW
136,BOULDER_PARK_3,17,0.0,PNW
137,BOULDER_PARK_3,18,0.0,PNW
138,BOULDER_PARK_3,19,0.0,PNW
139,BOULDER_PARK_3,20,0.0,PNW
140,BOULDER_PARK_3,21,0.0,PNW
141,BOULDER_PARK_3,22,0.0,PNW
142,BOULDER_PARK_3,23,0.0,PNW
143,BOULDER_PARK_3,24,0.0,PNW
144,MARCH_POINT_GTG1,1,0.0,PNW
145,MARCH_POINT_GTG1,2,0.0,PNW
146,MARCH_POINT_GTG1,3,0.0,PNW
147,MARCH_POINT_GTG1,4,0.0,PNW
148,MARCH_POINT_GTG1,5,0.0,PNW
149,MARCH_POINT_GTG1,6,0.0,PNW
150,MARCH_POINT_GTG1,7,0.0,PNW
151,MARCH_POINT_GTG1,8,0.0,PNW
152,MARCH_POINT_GTG1,9,0.0,PNW
153,MARCH_POINT_GTG1,10,0.0,PNW
154,MARCH_POINT_GTG1,11,0.0,PNW
155,MARCH_POINT_GTG1,12,0.0,PNW
156,MARCH_POINT_GTG1,13,0.0,PNW
157,MARCH_POINT_GTG1,14,0.0,PNW
158,MARCH_POINT_GTG1,15,0.0,PNW
159,MARCH_POINT_GTG1,16,0.0,PNW
160,MARCH_POINT_GTG1,17,0.0,PNW
161,MARCH_POINT_GTG1,18,0.0,PNW
162,MARCH_POINT_GTG1,19,0.0,PNW
163,MARCH_POINT_GTG1,20,0.0,PNW
164,MARCH_POINT_GTG1,21,0.0,PNW
165,MARCH_POINT_GTG1,22,0.0,PNW
166,MARCH_POINT_GTG1,23,0.0,PNW
167,MARCH_POINT_GTG1,24,0.0,PNW
168,FREDONIA_4,1,0.0,PNW
169,FREDONIA_4,2,0.0,PNW
170,FREDONIA_4,3,0.0,PNW
171,FREDONIA_4,4,0.0,PNW
172,FREDONIA_4,5,0.0,PNW
173,FREDONIA_4,6,0.0,PNW
174,FREDONIA_4,7,0.0,PNW
175,FREDONIA_4,8,0.0,PNW
176,FREDONIA_4,9,0.0,PNW
177,FREDONIA_4,10,0.0,PNW
178,FREDONIA_4,11,0.0,PNW
179,FREDONIA_4,12,0.0,PNW
180,FREDONIA_4,13,0.0,PNW
181,FREDONIA_4,14,0.0,PNW
182,FREDONIA_4,15,0.0,PNW
183,FREDONIA_4,16,0.0,PNW
184,FREDONIA_4,17,0.0,PNW
185,FREDONIA_4,18,0.0,PNW
186,FREDONIA_4,19,0.0,PNW
187,FREDONIA_4,20,0.0,PNW
188,FREDONIA_4,21,0.0,PNW
189,FREDONIA_4,22,0.0,PNW
190,FREDONIA_4,23,0.0,PNW
191,FREDONIA_4,24,0.0,PNW
192,WHITEHORN_3,1,0.0,PNW
193,WHITEHORN_3,2,0.0,PNW
194,WHITEHORN_3,3,0.0,PNW
195,WHITEHORN_3,4,0.0,PNW
196,WHITEHORN_3,5,0.0,PNW
197,WHITEHORN_3,6,84.6,PNW
198,WHITEHORN_3,7,0.0,PNW
199,WHITEHORN_3,8,0.0,PNW
200,WHITEHORN_3,9,0.0,PNW
201,WHITEHORN_3,10,0.0,PNW
202,WHITEHORN_3,11,84.6,PNW
203,WHITEHORN_3,12,84.6,PNW
204,WHITEHORN_3,13,0.0,PNW
205,WHITEHORN_3,14,0.0,PNW
206,WHITEHORN_3,15,0.0,PNW
207,WHITEHORN_3,16,0.0,PNW
208,WHITEHORN_3,17,0.0,PNW
209,WHITEHORN_3,18,84.6,PNW
210,WHITEHORN_3,19,0.0,PNW
211,WHITEHORN_3,20,0.0,PNW
212,WHITEHORN_3,21,0.0,PNW
213,WHITEHORN_3,22,0.0,PNW
214,WHITEHORN_3,23,0.0,PNW
215,WHITEHORN_3,24,0.0,PNW
216,WHITEHORN_2,1,0.0,PNW
217,WHITEHORN_2,2,0.0,PNW
218,WHITEHORN_2,3,0.0,PNW
219,WHITEHORN_2,4,0.0,PNW
220,WHITEHORN_2,5,0.0,PNW
221,WHITEHORN_2,6,0.0,PNW
222,WHITEHORN_2,7,0.0,PNW
223,WHITEHORN_2,8,0.0,PNW
224,WHITEHORN_2,9,0.0,PNW
225,WHITEHORN_2,10,0.0,PNW
226,WHITEHORN_2,11,0.0,PNW
227,WHITEHORN_2,12,0.0,PNW
228,WHITEHORN_2,13,0.0,PNW
229,WHITEHORN_2,14,0.0,PNW
230,WHITEHORN_2,15,0.0,PNW
231,WHITEHORN_2,16,0.0,PNW
232,WHITEHORN_2,17,0.0,PNW
233,WHITEHORN_2,18,0.0,PNW
234,WHITEHORN_2,19,84.6,PNW
235,WHITEHORN_2,20,0.0,PNW
236,WHITEHORN_2,21,0.0,PNW
237,WHITEHORN_2,22,0.0,PNW
238,WHITEHORN_2,23,0.0,PNW
239,WHITEHORN_2,24,0.0,PNW
240,FREDONIA_1,1,0.0,PNW
241,FREDONIA_1,2,0.0,PNW
242,FREDONIA_1,3,0.0,PNW
243,FREDONIA_1,4,0.0,PNW
244,FREDONIA_1,5,0.0,PNW
245,FREDONIA_1,6,0.0,PNW
246,FREDONIA_1,7,0.0,PNW
247,FREDONIA_1,8,0.0,PNW
248,FREDONIA_1,9,0.0,PNW
249,FREDONIA_1,10,0.0,PNW
250,FREDONIA_1,11,0.0,PNW
251,FREDONIA_1,12,0.0,PNW
252,FREDONIA_1,13,0.0,PNW
253,FREDONIA_1,14,0.0,PNW
254,FREDONIA_1,15,0.0,PNW
255,FREDONIA_1,16,0.0,PNW
256,FREDONIA_1,17,0.0,PNW
257,FREDONIA_1,18,0.0,PNW
258,FREDONIA_1,19,0.0,PNW
259,FREDONIA_1,20,0.0,PNW
260,FREDONIA_1,21,0.0,PNW
261,FREDONIA_1,22,0.0,PNW
262,FREDONIA_1,23,0.0,PNW
263,FREDONIA_1,24,0.0,PNW
264,PORT_WESTWARD_1_GEN_1,1,0.0,PNW
265,PORT_WESTWARD_1_GEN_1,2,0.0,PNW
266,PORT_WESTWARD_1_GEN_1,3,0.0,PNW
267,PORT_WESTWARD_1_GEN_1,4,0.0,PNW
268,PORT_WESTWARD_1_GEN_1,5,0.0,PNW
269,PORT_WESTWARD_1_GEN_1,6,0.0,PNW
270,PORT_WESTWARD_1_GEN_1,7,0.0,PNW
271,PORT_WESTWARD_1_GEN_1,8,42.47241081243118,PNW
272,PORT_WESTWARD_1_GEN_1,9,0.0,PNW
273,PORT_WESTWARD_1_GEN_1,10,0.0,PNW
274,PORT_WESTWARD_1_GEN_1,11,0.0,PNW
275,PORT_WESTWARD_1_GEN_1,12,0.0,PNW
276,PORT_WESTWARD_1_GEN_1,13,0.0,PNW
277,PORT_WESTWARD_1_GEN_1,14,0.0,PNW
278,PORT_WESTWARD_1_GEN_1,15,0.0,PNW
279,PORT_WESTWARD_1_GEN_1,16,0.0,PNW
280,PORT_WESTWARD_1_GEN_1,17,312.0,PNW
281,PORT_WESTWARD_1_GEN_1,18,0.0,PNW
282,PORT_WESTWARD_1_GEN_1,19,0.0,PNW
283,PORT_WESTWARD_1_GEN_1,20,0.0,PNW
284,PORT_WESTWARD_1_GEN_1,21,0.0,PNW
285,PORT_WESTWARD_1_GEN_1,22,0.0,PNW
286,PORT_WESTWARD_1_GEN_1,23,312.0,PNW
287,PORT_WESTWARD_1_GEN_1,24,0.0,PNW
