PGE_valley,PGE_bay,SCE,SDGE,Oasis,ICE,
39.38586667,39.7474,38.29804583,49.36009167,4.54E+01,45.9575,
39.9388,39.7474,38.17424583,49.18986667,4.48E+01,45.9575,
39.9388,39.7474,37.8828,48.98869167,4.31E+01,45.9575,
42.0442,42.2994,46.5874875,51.7870875,4.74E+01,51.33,
44.712,44.6472,48.54831667,54.6601,4.80E+01,52.48,
49.8043,46.5764,50.8654875,53.79735,4.52E+01,51.53,
53.82,50.154,57.34452083,61.74246667,4.96E+01,51.42,
45.1415,42.6755,49.284,54.081975,5.09E+01,56.1125,
42.90097917,42.6755,41.661075,53.71845,4.55E+01,56.1125,
42.881,42.6755,40.617675,52.56405,4.33E+01,56.1125,
37.9356,37.7538,43.3206,47.8038125,4.81E+01,51.0025,
38.6174,37.34285,42.06195,46.2459375,4.99E+01,49.895,
40.71,40.651,44.1168875,46.55553333,4.57E+01,51.12,
39.9354,41.7534,45.31884583,47.86006667,4.47E+01,51.12,
41.055,38.2585,43.4904,46.9632,4.45E+01,48.4425,
37.247,37.0685,39.3696,46.4544,4.52E+01,48.4425,
37.247,37.0685,42.2832,46.3488,4.71E+01,48.4425,
37.247,38.2585,44.3784,46.7112,4.98E+01,50.4425,
36.482,39.962,42.3484875,45.6841,4.98E+01,50.9075,
38.4197,36.3209,41.41875,45.7968,5.01E+01,53.03,
37.6488,40.0309,41.707425,45.40023333,5.02E+01,54.3625,
39.2764,37.23013333,43.4264625,47.12887917,4.81E+01,50.0725,
39.2764,37.1308,39.31293333,47.02790417,4.51E+01,50.0725,
39.0827,37.1308,37.505,46.3114625,4.71E+01,50.0725,
39.8695,41.6845,43.591075,47.47576667,5.11E+01,53.81,
43.542,43.22241667,43.124775,46.49843333,4.72E+01,54.2675,
39.399,39.3419,40.5306,44.9512,4.71E+01,51.75,
38.709,38.6529,40.670325,44.19106667,4.63E+01,51.75,
36.5745,35.6865,40.3608,43.42493333,4.58E+01,47.87,
34.9095,34.5765,39.88286667,43.5232,4.20E+01,47.87,
33.3,33.378625,33.41736667,43.3557,4.28E+01,47.87,
36.8381,34.8257,33.7815,43.7355,4.53E+01,49.0275,
37.9584,35.8848,34.64307917,44.880275,4.58E+01,49.305,
38.222,36.134,38.405125,45.0857,4.63E+01,51.01,
39.744,37.0368,34.76144167,45.0543375,4.71E+01,51.42,
38.881,40.70754167,36.8794625,46.12728333,4.55E+01,49.785,
36.934,36.757,38.96599167,45.99880833,4.35E+01,49.785,
40.71,40.651,41.64493333,45.94884583,4.28E+01,49.785,
39.6718,40.04303333,42.923375,47.179275,4.46E+01,51.8175,
36.6707,40.1687,40.5845,45.62055,4.56E+01,50.2125,
36.1202,35.9471,41.303625,45.032925,5.03E+01,48.77,
38.3538,37.589925,41.54705417,45.870425,5.00E+01,48.77,
38.0243,39.7553,42.82185,45.15615,4.42E+01,49.455,
39.813,39.7553,41.429175,45.18405,4.03E+01,49.455,
36.1202,37.1011,34.6983,44.902725,3.99E+01,49.455,
38.0243,37.1011,34.947075,45.135225,4.43E+01,50.99,
37.1844,37.0062,37.01322917,46.21083333,4.34E+01,48.04,
36.0576,35.8848,38.13129167,44.82225417,4.25E+01,49.475,
37.4971,37.7247,40.68625,44.23375,4.22E+01,46.5925,
35.5201,35.79409167,40.3,42.38216667,4.26E+01,44.51,
33.7414,33.5797,31.43183333,41.69966667,4.11E+01,44.51,
32.34,33.5258,32.24866667,41.899,4.13E+01,44.51,
32.6146,35.8969,38.905,40.87953333,4.28E+01,44.5525,
32.552,34.48683333,36.5396,40.8335875,4.35E+01,44.985,
32.552,33.06333333,37.4810625,40.8335875,4.37E+01,46.0325,
35.397,35.3457,38.285,40.378325,4.07E+01,46.0325,
31.7645,31.83604167,34.139475,39.4632,4.18E+01,44.7275,
31.7645,31.4615,35.4456,39.3741,4.03E+01,44.7275,
31.613,31.4615,30.051,39.1473,3.71E+01,44.7275,
32.0512,35.2768,36.11635833,39.55914167,4.04E+01,44.1525,
31.7382,33.669025,31.3357,38.86513333,4.19E+01,43.74,
31.613,31.4615,35.80605,39.4632,4.01E+01,44.53,
31.683275,31.5861,33.1962,39.27586667,3.90E+01,44.2475,
30.361,30.58935417,31.64916667,37.99453333,4.15E+01,42.7075,
30.361,30.2155,28.897825,37.8392,4.00E+01,42.7075,
30.361,30.2155,28.222125,37.39261667,3.81E+01,42.7075,
29.81148333,29.6548,34.4977875,37.21503333,4.40E+01,43.88,
29.996,30.644,34.540425,41.32096667,4.38E+01,47.5825,
29.6098,29.4679,34.91638333,37.029375,4.51E+01,48.5525,
29.7976,29.6548,33.79134167,37.24740417,4.58E+01,48.1575,
27.2368,28.9072,27.73647917,36.134,4.23E+01,46.2825,
27.26193333,28.9072,30.46395833,36.134,3.92E+01,46.2825,
27.26193333,28.9072,27.05785417,35.65191667,3.99E+01,46.2825,
22.96171667,27.85785,27.46310833,35.6468,4.53E+01,45.3875,
30.5885,29.40543333,34.68453333,38.20133333,4.30E+01,49.0575,
