name,typ,zone,netcap ,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost
RATHDRUM_1,ngct,PNW,83.2,8.569111935,8.634136697,8.699161459,29.12,83.2,1,1,3.17,35.05532659,5824
RATHDRUM_2,ngct,PNW,83.2,8.569111935,8.634136697,8.699161459,29.12,83.2,1,1,3.17,35.05532659,5824
RATHDRUMPWR_CTG1,ngcc,PNW,179.4,5.691681446,5.952627186,6.213572926,71.76,179.4,2,2,2,82.45926889,12558
RATHDRUMPWR_STG1,ngcc,PNW,122.1,5.691681446,5.952627186,6.213572926,48.84,122.1,2,2,2,56.12194388,8547
RUPERT_1002,ngcc,PNW,10.4,9.271681446,9.532627186,9.793572926,4.16,10.4,2,2,2,4.780247472,728
ALDEN_BAILEY_LOKI,ngct,PNW,10.9,5.689111935,5.754136697,5.819161459,3.815,10.9,1,1,3.17,4.592584854,763
BEAVER_1,ngcc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781
BEAVER_2,ngcc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781
BEAVER_3,ngcc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781
BEAVER_4,ngcc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781
BEAVER_5,ngcc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781
BEAVER_6,ngcc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781
BEAVER_7,ngcc,PNW,176.4,14.00168145,14.26262719,14.52357293,70.56,176.4,5,5,2,81.08035135,12348
BEAVER_8,ngct,PNW,24.5,13.47911193,13.5441367,13.60916146,8.575,24.5,1,1,3.17,10.32278247,1715
