name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost
UNCHEM_1_UNIT,ngcc,PGE_bay,19,15.58,15.98,16.38,8,19,6,6,2,2.62,1330
CROKET_7_UNIT,ngcc,PGE_bay,240,4.36,4.62,4.88,96,240,5,5,2,110.2583026,16800
GATWAY_2_PL1X3,ngcc,PGE_bay,562.5,5.91,6.17,6.43,225,563,1,1,2,258.4870849,39375
METEC_2_PL1X3,ngcc,PGE_bay,593.16,5.97,6.23,6.49,238,594,2,2,2,272.5461255,41521.2
GILROY_1_UNIT,ngcc,PGE_bay,120,6.63,6.89,7.15,48,120,6,6,2,55.12915129,8400
TIDWTR_2_UNITS,ngcc,PGE_bay,114.8,6.63,6.89,7.15,46,115,6,6,2,52.73062731,8036
CONTAN_1_UNIT,ngcc,PGE_bay,27.7,6.63,6.89,7.15,12,28,1,1,2,12.69372694,1939
STOILS_1_UNITS,ngcc,PGE_bay,113.9,7.12,7.38,7.64,46,114,5,5,2,52.32472325,7973
DUANE_1_PL1X3,ngcc,PGE_bay,147.8,7.86,8.12,8.38,60,148,2,2,2,67.89667897,10346
LMEC_1_PL1X3,ngcc,PGE_bay,561.29,8.36,8.62,8.88,225,562,4,4,2,257.896679,39290.3
SHELRF_1_UNITS,ngcc,PGE_bay,100,8.87,9.13,9.39,40,100,5,5,2,45.94095941,7000
RUSCTY_2_UNITS,ngcc,PGE_bay,620,10.06,10.32,10.58,248,620,1,1,2,284.9077491,43400
DELTA_2_PL1X4,ngcc,PGE_bay,880,10.22,10.48,10.74,352,880,4,4,2,404.3542435,61600
UNOCAL_1_UNITS,ngct,PGE_bay,57.3,6.37,6.43,6.5,21,58,1,1,3.17,24.1369863,4011
SRINTL_6_UNIT,ngct,PGE_bay,6.9,7.4,7.46,7.53,3,7,1,1,3.17,2.904109589,483
STAUFF_1_UNIT,ngct,PGE_bay,4.6,8.01,8.08,8.14,2,5,1,1,3.17,1.917808219,322
KELSO_2_UNITS,ngct,PGE_bay,196,8.64,8.7,8.77,69,196,1,1,3.17,82.63013699,13720
COCOPP_2_CTG1,ngct,PGE_bay,204.2,8.65,8.71,8.78,72,205,1,1,3.17,86.08219178,14294
COCOPP_2_CTG2,ngct,PGE_bay,202.7,8.65,8.71,8.78,71,203,1,1,3.17,85.45205479,14189
COCOPP_2_CTG3,ngct,PGE_bay,208.96,8.65,8.71,8.78,74,209,1,1,3.17,88.08219178,14627.2
COCOPP_2_CTG4,ngct,PGE_bay,204.29,8.65,8.71,8.78,72,205,1,1,3.17,86.10958904,14300.3
RVRVEW_1_UNITA1,ngct,PGE_bay,48.7,9.3,9.37,9.43,18,49,1,1,3.17,20.52054795,3409
LMBEPK_2_UNITA2,ngct,PGE_bay,48,9.46,9.53,9.59,17,48,1,1,3.17,20.21917808,3360
LMBEPK_2_UNITA3,ngct,PGE_bay,48,9.66,9.73,9.79,17,48,1,1,3.17,20.21917808,3360
ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,11.48,11.55,11.61,9,24,1,1,3.17,10.02739726,1666
ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,11.48,11.55,11.61,9,26,1,1,3.17,10.68493151,1778
GILRPP_1_PL3X4,ngct,PGE_bay,46.2,11.9,11.96,12.03,17,47,1,1,3.17,19.45205479,3234
GILRPP_1_PL1X2,ngct,PGE_bay,95.4,11.9,11.96,12.03,34,96,1,1,3.17,40.21917808,6678
LECEF_1_UNITS,ngct,PGE_bay,294,11.9,11.96,12.03,103,294,1,1,3.17,123.9452055,20580
PALALT_7_COBUG,ngct,PGE_bay,4.5,11.9,11.96,12.03,2,5,1,1,3.17,1.890410959,315
CSCCOG_1_UNIT_1,ngct,PGE_bay,7,18.41,18.48,18.54,3,7,1,1,3.17,2.931506849,490
CSCGNR_1_UNIT_1,ngct,PGE_bay,24.75,30.84,30.91,30.97,9,25,1,1,3.17,10.4109589,1732.5
CSCGNR_1_UNIT_2,ngct,PGE_bay,24.75,30.84,30.91,30.97,9,25,1,1,3.17,10.4109589,1732.5
PITTSP_7_UNIT_5,ngst,PGE_bay,312,12.15,12.85,13.56,125,312,6,6,2,64.52322738,21840
PITTSP_7_UNIT_6,ngst,PGE_bay,317,12.15,12.85,13.56,127,317,6,6,2,65.56234719,22190
PITTSP_7_UNIT_7,ngst,PGE_bay,530,12.15,12.85,13.56,212,530,6,6,2,109.608802,37100
OAK_C_7_UNIT_1,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850
OAK_C_7_UNIT_2,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850
OAK_C_7_UNIT_3,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850
SUNRIS_2_PL1X3,ngcc,PGE_valley,586.02,9.84,10.1,10.36,235,587,4,4,2,269.3726937,41021.4
MOSSLD_2_PSP1,ngcc,PGE_valley,510,9.36,9.62,9.88,204,510,3,3,2,234.3173432,35700
MOSSLD_2_PSP2,ngcc,PGE_valley,510,9.36,9.62,9.88,204,510,3,3,2,234.3173432,35700
ELKHIL_2_PL1X3,ngcc,PGE_valley,551.7,8.77,9.03,9.3,221,552,2,2,2,253.5055351,38619
CALPIN_1_AGNEW,ngcc,PGE_valley,28,8.05,8.31,8.57,12,28,5,5,2,12.91512915,1960
MALAGA_1_PL1X2,ngcc,PGE_valley,96,7.61,7.87,8.13,39,96,2,2,2,44.2804428,6720
CHEVCO_6_UNIT_2,ngcc,PGE_valley,12.5,7.13,7.39,7.65,5,13,6,6,2,5.904059041,875
MISSIX_1_QF,ngcc,PGE_valley,1,7.12,7.38,7.64,1,1,6,6,2,0.36900369,70
CLRMTK_1_QF,ngcc,PGE_valley,1.25,7.12,7.38,7.64,1,2,6,6,2,0.73800738,87.5
BASICE_2_UNITS,ngcc,PGE_valley,135,6.64,6.9,7.16,54,135,5,5,2,61.99261993,9450
AGRICO_7_UNIT,ngcc,PGE_valley,50.6,6.64,6.9,7.16,21,51,4,4,2,23.24723247,3542
GRNLF1_1_UNITS,ngcc,PGE_valley,49.5,6.64,6.9,7.16,20,50,6,6,2,22.87822878,3465
